sample_id,transcript_id,log2cpm,gene_name,transcript_type,condition,donor_inferred,contrast
WZ16_CADASIL_C224Y,ENST00000480737.1,-5.9428088299003,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000471193.1,-5.9428088299003,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000426059.1,2.11788710178726,FN1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000496542.1,1.27635969056187,FN1,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000261937.11,-1.41924687384328,FLT4,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000393347.7,-2.77288382845798,FLT4,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000510000.1,-5.9428088299003,FLT4,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000514810.1,-5.9428088299003,FLT4,retained_intron,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000282397.9,-0.516544075198197,FLT1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000541932.5,-1.69488131645671,FLT1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000615840.5,-0.657406611038047,FLT1,protein_coding,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ16_CADASIL_C224Y,ENST00000539099.2,-1.18792132773683,FLT1,nonsense_mediated_decay,CAD,C224Y,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000421182.5,-1.39292352243503,FN1,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000323926.10,9.19712176267207,FN1,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000336916.8,-1.11728907982161,FN1,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000492816.6,4.71119238991682,FN1,retained_intron,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
WZ4_CADASIL_Control,ENST00000446046.5,8.78875185279402,FN1,protein_coding,WT,WT_noVariant,vsmc_pooled_CAD_vs_nonCAD
