logFC,AveExpr,t,P.Value,adj.P.Val,B,transcript_id,gene_name,transcript_type,contrast
-1.06220872864916,10.1249884159119,-5.36824139977296,0.00731508073063115,0.733481482836442,-4.06321164160874,ENST00000456923.5,FN1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-1.34564639151024,7.70225245113568,-5.25853992494263,0.00783611130340996,0.733481482836442,-4.32195567467948,ENST00000432072.6,FN1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-1.35498483806227,7.46983208862401,-3.87937259526505,0.0208202348022252,0.733481482836442,-4.37103331984383,ENST00000461974.1,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
-3.1217814464969,2.15538909440998,-3.53608099984221,0.0275798362877604,0.733481482836442,-4.54972898925441,ENST00000460217.1,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
-7.28189862976488,-3.59935610398247,-3.5173902659779,0.0280192581769139,0.733481482836442,-4.59289818718403,ENST00000471193.1,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
-3.27899421607259,-0.137226118261491,-3.45179101657626,0.0296301272044277,0.733481482836442,-4.58138319238621,ENST00000421182.5,FN1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-1.47338102995663,2.90768603317238,-3.41100960343483,0.0306881387822359,0.733481482836442,-4.54061432256974,ENST00000426059.1,FN1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-1.27510057204203,9.50457532031064,-3.10499077928776,0.0402663924190249,0.733481482836442,-4.26398249264428,ENST00000446046.5,FN1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-0.862713063917268,4.64698158132376,-2.69733253546826,0.0592183475530206,0.733481482836442,-4.5216503646491,ENST00000492816.6,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
-3.03174379788094,1.46606702917834,-2.45628560084456,0.0753741941313172,0.733481482836442,-4.57015219768042,ENST00000485567.1,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
-6.50736154515925,1.67281914005654,-2.28941635335864,0.0895803971627672,0.733481482836442,-4.57907956022737,ENST00000480737.1,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
-1.49806262316139,1.04511524206029,-1.75800710149688,0.159667738857653,0.744555253786745,-4.5831414125931,ENST00000496542.1,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
-1.14400506629954,2.5284731132577,-1.42596064748701,0.232800163110012,0.749248111424516,-4.58317831770328,ENST00000469569.1,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
-0.485718093778352,3.92642207476327,-1.32319685224661,0.261890870905215,0.753072201556923,-4.58189033216943,ENST00000480024.1,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
-0.595485758567033,2.60797001200891,-1.32215544159433,0.26220362879194,0.753072201556923,-4.58631636720949,ENST00000473614.1,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
3.44364248533926,-3.13411476257514,0.415786425368464,0.700625381697274,0.842904518331016,-4.59544533683252,ENST00000438981.1,FN1,protein_coding,vsmc_C224Y_cluster_CAD_vs_ISO
-0.316568968133829,2.65864549501126,-0.38461656127383,0.721675243759347,0.854696038273584,-4.60984764490932,ENST00000498719.1,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
-0.00490164137377534,4.78415341528325,-0.0100157909293779,0.992527118207151,0.996232439084613,-4.62912488678345,ENST00000474036.1,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
0.00328752708512456,3.29989120084061,0.00712345805603004,0.994685060866895,0.997172651912816,-4.61651778326863,ENST00000494446.1,FN1,retained_intron,vsmc_C224Y_cluster_CAD_vs_ISO
