ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000132824.14,SERINC3,7.3330,6.6936,7.6072,7.0239,6.6292,7.2676,7.0548
ENSG00000132825.7,PPP1R3D,3.1643,2.9278,2.9774,3.1244,3.0199,3.2554,3.0796
ENSG00000132842.15,AP3B1,6.4083,6.5056,6.2529,6.5127,6.4391,6.5957,6.6262
ENSG00000132846.6,ZBED3,4.7440,5.4655,4.5817,4.9302,5.6140,4.3357,4.7412
ENSG00000132849.22,PATJ,4.5088,3.2845,4.0337,4.9195,3.5505,4.5335,3.6650
ENSG00000132854.19,KANK4,3.2450,2.9509,1.8331,4.0092,6.1881,3.3122,4.7060
ENSG00000132872.12,SYT4,0.1332,1.1040,0.0000,0.1544,1.5040,0.0495,0.0570
ENSG00000132879.14,FBXO44,4.1694,4.6039,4.7239,3.8896,4.9931,4.2324,4.2302
ENSG00000132881.12,CPLANE2,2.1329,2.2310,1.6395,1.7377,2.2648,1.8125,1.5329
ENSG00000132906.18,CASP9,4.1087,3.1903,3.9374,4.0816,3.2296,3.7239,3.8457
ENSG00000132912.13,DCTN4,6.2121,6.4307,6.2917,6.2920,6.4178,6.0507,6.3430
ENSG00000132932.19,ATP8A2,4.3168,1.8091,5.2564,2.8806,2.8298,5.0367,3.5052
ENSG00000132938.22,MTUS2,1.6153,2.9662,0.4924,1.1160,2.0373,1.2393,1.2201
ENSG00000132950.19,ZMYM5,4.4376,4.1924,4.0265,4.2538,4.0696,4.1383,4.1862
ENSG00000132952.12,USPL1,5.4160,5.0912,5.0941,5.3427,5.1424,4.9350,5.1960
ENSG00000132953.18,XPO4,5.1288,5.5091,5.0146,5.3992,5.4714,5.2328,5.2867
ENSG00000132963.9,POMP,6.5810,5.4588,6.4123,6.7114,5.8857,6.1681,6.2529
ENSG00000132964.13,CDK8,4.8332,4.6328,4.8039,4.6734,5.0811,4.6742,4.7564
ENSG00000132965.10,ALOX5AP,3.0397,1.5303,2.0328,2.1464,0.9769,1.6130,2.1845
ENSG00000132970.14,WASF3,4.9537,5.1084,4.6948,5.1030,5.1107,4.6138,5.5059
ENSG00000133019.12,CHRM3,1.7597,0.6922,0.7233,0.1048,1.5540,1.0334,0.4464
ENSG00000133026.14,MYH10,8.7310,9.8279,8.7953,9.4242,9.2876,8.8500,9.2780
ENSG00000133027.18,PEMT,3.6265,3.6667,3.6122,3.5055,3.8929,3.4290,3.6832
ENSG00000133028.12,SCO1,5.3121,5.0145,5.7969,5.2923,5.1867,5.2180,5.3859
ENSG00000133030.22,MPRIP,7.3036,7.9947,7.7457,7.8616,8.3243,7.5830,7.9286
ENSG00000133048.13,CHI3L1,1.3493,0.2193,1.3936,0.0533,0.9522,0.5397,0.6453
ENSG00000133056.14,PIK3C2B,4.8446,5.1557,4.1206,4.8533,6.5892,4.7188,5.1817
ENSG00000133059.18,DSTYK,5.4778,5.6561,5.2928,5.4523,5.6150,5.6285,5.6355
ENSG00000133065.11,SLC41A1,4.9507,5.7647,5.1213,5.1618,5.8224,4.8745,5.2212
ENSG00000133067.18,LGR6,0.3311,1.4239,0.3151,1.1160,4.6070,0.5046,1.0052
ENSG00000133069.17,TMCC2,3.8719,2.9200,3.7538,3.7552,3.8026,3.5500,3.8253
ENSG00000133083.15,DCLK1,1.7597,4.7073,3.5634,4.5232,3.2141,4.3799,2.9946
