ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000106348.19,IMPDH1,1086,1181,976,1452,1233,1293,1112
ENSG00000106351.13,AGFG2,206,180,176,209,140,185,197
ENSG00000106355.10,LSM5,542,548,401,574,888,394,368
ENSG00000106366.9,SERPINE1,20963,676,86167,39231,1849,39553,14881
ENSG00000106367.15,AP1S1,2611,978,2333,1580,1957,3216,2734
ENSG00000106392.11,C1GALT1,1131,451,1419,704,731,1420,811
ENSG00000106397.12,PLOD3,5028,3035,5772,4949,3762,4514,3690
ENSG00000106399.11,RPA3,245,245,187,214,258,149,157
ENSG00000106400.12,ZNHIT1,1946,1015,1393,1449,1597,1419,1474
ENSG00000106404.14,CLDN15,183,236,165,130,270,205,132
ENSG00000106415.13,GLCCI1,789,190,469,584,328,635,1222
ENSG00000106443.17,PHF14,1260,1982,1033,1272,2001,971,902
ENSG00000106459.15,NRF1,369,472,352,338,566,244,211
ENSG00000106460.20,TMEM106B,2476,2187,1918,1320,2820,2284,1630
ENSG00000106462.12,EZH2,621,1180,667,805,1521,359,520
ENSG00000106477.20,CEP41,457,643,515,418,719,344,348
ENSG00000106479.11,ZNF862,415,627,346,288,718,261,292
ENSG00000106483.12,SFRP4,971,121,70,78,18,257,33
ENSG00000106484.16,MEST,11474,26162,6822,3798,13586,9261,6092
ENSG00000106524.9,ANKMY2,893,586,795,638,706,837,614
ENSG00000106536.21,POU6F2,27,51,14,15,71,29,17
ENSG00000106537.8,TSPAN13,2814,516,1705,1477,1375,3355,1382
ENSG00000106538.10,RARRES2,754,958,197,150,273,334,464
ENSG00000106546.14,AHR,1272,921,1194,734,985,1567,1075
ENSG00000106554.13,CHCHD3,1162,878,1256,1147,1209,916,971
ENSG00000106565.19,TMEM176B,24,75,0,2,1002,9,2
ENSG00000106571.15,GLI3,790,2183,398,846,3286,793,1034
ENSG00000106588.12,PSMA2,29,42,37,44,27,13,22
ENSG00000106603.20,COA1,1054,895,724,855,1195,683,628
ENSG00000106605.11,BLVRA,568,405,581,342,625,501,313
ENSG00000106608.17,URGCP,745,734,717,592,971,600,506
ENSG00000106609.16,TMEM248,4352,3549,4104,3277,4163,3543,2911
ENSG00000106615.10,RHEB,2574,1440,2071,2179,2333,2209,2179
ENSG00000106617.16,PRKAG2,1608,720,1768,1722,732,1075,1159
ENSG00000106624.11,AEBP1,15835,33116,10646,9934,26502,8664,9724
ENSG00000106628.13,POLD2,1646,1802,1727,1806,1886,1325,1448
ENSG00000106631.8,MYL7,586,24,45,295,31,152,198
ENSG00000106633.18,GCK,39,78,5,23,50,32,24
ENSG00000106635.8,BCL7B,882,570,716,692,876,679,692
ENSG00000106636.9,YKT6,8388,3976,4669,5783,6537,8100,7067
ENSG00000106638.18,TBL2,1650,1269,1739,1555,1458,1413,1234
ENSG00000106665.16,CLIP2,1624,2792,1672,1355,3497,1603,2688
ENSG00000106682.16,EIF4H,7733,5360,6414,7769,6385,6074,5650
ENSG00000106683.15,LIMK1,4139,2099,2788,2615,3381,3882,2912
ENSG00000106686.18,SPATA6L,48,9,35,23,11,20,13
ENSG00000106688.12,SLC1A1,1268,89,987,674,101,1460,808
ENSG00000106689.11,LHX2,115,13,134,58,4,38,97
ENSG00000106692.15,FKTN,1243,1253,943,1066,1307,1166,888
ENSG00000106701.13,FSD1L,180,198,188,204,210,136,130
ENSG00000106714.18,CNTNAP3,89,296,106,97,198,128,52
ENSG00000106723.17,SPIN1,4125,3919,2735,3556,6024,3258,3087
ENSG00000106733.21,NMRK1,324,337,281,292,319,235,212
ENSG00000106771.13,TMEM245,8060,2230,5207,5030,3536,5743,4116
ENSG00000106772.19,PRUNE2,608,297,405,415,698,286,196
ENSG00000106780.9,MEGF9,4798,814,2598,2146,1927,2290,3992
ENSG00000106785.15,TRIM14,50,50,178,423,286,64,54
ENSG00000106789.13,CORO2A,1115,562,407,675,1588,705,943
ENSG00000106799.14,TGFBR1,7543,6231,6617,7547,10682,6794,5275
ENSG00000106803.10,SEC61B,3093,1496,2041,2705,2423,2295,2076
ENSG00000106804.10,C5,143,248,66,74,173,96,88
ENSG00000106809.11,OGN,0,16,0,0,148,18,41
ENSG00000106829.21,TLE4,3077,2461,1873,3292,3418,2303,2326
ENSG00000106853.20,PTGR1,2252,1209,1489,823,2103,1722,1142
ENSG00000106868.17,SUSD1,1730,580,1942,1239,690,2294,1158
ENSG00000106948.17,AKNA,762,1097,678,753,1897,906,808
ENSG00000106976.22,DNM1,3750,2652,4529,3795,4073,4355,2998
ENSG00000106991.14,ENG,159,6711,528,1281,2113,309,430
ENSG00000106992.19,AK1,296,260,213,241,389,317,313
ENSG00000106993.12,CDC37L1,577,243,423,467,434,471,333
ENSG00000107020.10,PLGRKT,273,158,231,187,259,179,153
ENSG00000107021.16,TBC1D13,1845,1630,1158,1567,2347,1414,1256
ENSG00000107036.12,RIC1,3255,2671,1831,3017,3726,2499,2206
ENSG00000107077.19,KDM4C,381,322,274,330,374,420,293
ENSG00000107099.18,DOCK8,54,66,101,57,99,142,249
ENSG00000107104.21,KANK1,1742,969,1572,1237,1300,1383,1230
ENSG00000107105.15,ELAVL2,959,346,213,603,2221,855,555
ENSG00000107130.10,NCS1,4998,2948,4010,4364,3922,5151,4309
ENSG00000107140.17,TESK1,1296,927,871,961,1767,1103,1073
ENSG00000107164.17,FUBP3,2374,2083,1612,2079,2855,2330,2206
ENSG00000107175.12,CREB3,2411,1105,2330,2136,1713,2559,2047
ENSG00000107185.10,RGP1,2637,2049,1417,2028,2673,2024,1936
ENSG00000107186.17,MPDZ,2456,3934,1643,2140,3771,2308,2043
ENSG00000107201.11,RIGI,33,24,30,97,24,23,8
ENSG00000107223.13,EDF1,4622,2500,3785,3587,3607,3226,2951
ENSG00000107242.20,PIP5K1B,53,4,16,49,39,24,74
ENSG00000107249.24,GLIS3,2115,1152,1965,2123,1270,2456,1820
