ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000269968.1,ENSG00000269968,5.4819,1.1905,14.1577,10.6956,1.7360,1.2562,2.4175
ENSG00000269973.1,ENSG00000269973,2.8377,2.9146,4.7192,1.8830,1.9030,2.4426,2.4577
ENSG00000269994.3,LINC02893,0.4192,4.3925,0.7323,0.7909,4.0730,1.2911,1.1281
ENSG00000270001.1,ENSG00000270001,1.1609,0.1642,1.9935,0.6402,0.0668,1.3260,0.4835
ENSG00000270049.4,ATP6V0D1-DT,1.4188,1.0263,0.5696,0.7909,1.1351,0.5583,0.7655
ENSG00000270055.1,ENSG00000270055,4.4177,4.6799,5.8177,2.2973,3.0047,3.8733,3.9485
ENSG00000270069.3,MIR222HG,0.6772,0.2463,2.4003,1.2428,0.3005,0.8026,1.8534
ENSG00000270127.2,ENSG00000270127,0.4192,0.9031,1.5053,0.1506,1.0683,0.8375,0.6447
ENSG00000270157.1,ENSG00000270157,1.4188,1.2726,1.4646,1.7701,1.3688,1.1515,2.4577
ENSG00000270170.2,NCBP2AS2,10.5445,8.5797,10.8217,9.1892,14.3892,8.5842,10.5562
ENSG00000270194.2,GOLGA4-AS1,3.2569,1.5600,2.3189,2.7869,2.7376,4.5712,4.5126
ENSG00000270231.5,NBPF8,14.7366,12.7259,16.2326,9.4528,13.4210,8.2352,9.4684
ENSG00000270277.1,ENSG00000270277,0.9996,0.6158,2.2783,1.0545,0.5342,0.9073,0.6849
ENSG00000270344.4,POC1B-AS1,0.6772,2.2168,0.7323,0.3013,1.9697,0.3489,0.7252
ENSG00000270362.2,HMGN3-AS1,2.2572,0.6568,0.8137,0.7532,2.3370,0.6281,1.0879
ENSG00000270504.1,ENSG00000270504,23.2496,29.7623,11.0658,20.1108,91.6768,33.8481,29.4124
ENSG00000270562.1,FOXP1-DT,2.2895,3.2020,2.2783,2.5609,3.1049,1.2562,1.8534
ENSG00000270574.1,ENSG00000270574,0.4514,1.0263,1.0171,0.4519,0.5342,0.5583,0.4029
ENSG00000270629.7,NBPF14,5.4174,9.6881,9.1944,7.4568,7.9124,3.8733,5.7616
ENSG00000270647.7,TAF15,163.6822,195.9794,194.0177,187.5880,127.6330,106.8485,107.0933
