ensembl_id,gene_name,WZ12_CADASIL_Control,WZ16_CADASIL_C224Y,WZ4_CADASIL_Control,WZ8_CADASIL_Control,XZ5_CADASIL_R153C,XZ6_CADASIL_R153C_isoCtrl,XZ7_CADASIL_C224Y_isoCtrl
ENSG00000250409.1,ENSG00000250409,0,0,0,0,0,0,0
ENSG00000250410.1,LRP2BP-AS1,7,2,8,3,0,0,3
ENSG00000250412.1,KLHL2P1,2,1,0,1,10,2,4
ENSG00000250413.1,SLC2A9-AS1,0,0,0,0,0,0,0
ENSG00000250415.1,ENSG00000250415,0,0,0,0,0,0,0
ENSG00000250416.2,SEC63P2,0,0,0,0,0,0,0
ENSG00000250417.1,LINC02116,0,0,0,0,0,0,0
ENSG00000250418.1,ENSG00000250418,0,0,0,0,0,0,0
ENSG00000250420.9,AACSP1,0,0,0,0,0,0,0
ENSG00000250421.5,ENSG00000250421,0,4,0,2,4,0,1
ENSG00000250422.1,ENSG00000250422,0,0,0,0,0,0,0
ENSG00000250423.3,KIAA1210,2,21,0,2,23,0,0
ENSG00000250424.4,ENSG00000250424,0,0,0,0,0,0,0
ENSG00000250425.1,OR7E35P,0,0,0,0,0,0,0
ENSG00000250426.2,FTLP10,0,0,0,0,0,0,0
ENSG00000250427.1,LINC02148,0,0,0,0,0,0,1
ENSG00000250428.1,MRS2P1,0,0,0,0,0,0,0
ENSG00000250430.1,ENSG00000250430,0,0,0,0,0,0,0
ENSG00000250431.1,ENSG00000250431,0,0,0,0,0,0,0
ENSG00000250432.5,FAM242C,0,0,0,0,0,0,0
ENSG00000250433.1,CLSTN2-AS1,0,0,0,1,0,0,0
ENSG00000250436.1,LINC02499,0,0,2,0,0,0,4
ENSG00000250437.1,LINC02161,0,0,0,0,0,0,0
ENSG00000250438.1,ENSG00000250438,0,0,0,0,0,0,0
ENSG00000250441.1,ENSG00000250441,0,0,0,0,0,0,0
ENSG00000250442.1,EIF3KP3,0,0,0,0,0,0,0
ENSG00000250444.1,CCT5P1,0,0,0,0,5,1,4
ENSG00000250446.1,LINC01332,0,0,0,0,0,0,0
ENSG00000250447.6,LINC02105,0,0,0,0,2,0,0
ENSG00000250448.1,MARCHF11-DT,0,0,0,0,0,3,0
ENSG00000250451.5,HOXC-AS1,0,0,0,0,0,0,0
ENSG00000250453.2,ENSG00000250453,0,0,0,0,0,0,0
ENSG00000250455.1,ENSG00000250455,0,0,0,0,0,0,0
ENSG00000250456.1,LINC02260,0,0,0,0,0,0,0
ENSG00000250458.2,ENSG00000250458,0,0,0,0,0,0,0
ENSG00000250461.1,ENSG00000250461,1,0,3,0,2,1,5
ENSG00000250462.9,LRRC37BP1,0,0,0,0,0,0,0
ENSG00000250464.1,LRRC34P2,0,0,0,0,0,0,0
ENSG00000250467.1,PHOX2B-AS1,0,0,0,0,0,0,0
ENSG00000250470.1,ENSG00000250470,0,0,0,0,0,0,0
ENSG00000250471.2,GMPSP1,1,1,1,1,3,0,0
