gene_id,gene_name,logFC,AveExpr,t,P.Value,adj.P.Val,B,contrast
ENSG00000270175.2,ENSG00000270175,1.01376493777562,-0.811032301117969,1.31772916420986,0.264621933336482,0.58024617328578,-4.87785806100506,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270177.1,PPP2CA-DT,0.396618753611293,-0.847201984024514,0.46786062349566,0.666584631766125,0.841341792184668,-5.57472714901699,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270179.1,ENSG00000270179,0.964738140286994,-1.59524059848806,0.919933655630842,0.414594433317803,0.690376714177621,-5.1191611038825,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270194.2,GOLGA4-AS1,-1.39989616099855,1.36012019898863,-2.67145289921299,0.0617422553838546,0.357252595672848,-3.80892787563083,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270207.2,ENSG00000270207,0.937976842828723,-3.6541035090625,0.350409850783327,0.74541286707315,0.884309674602308,-5.17552134980376,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270210.1,ENSG00000270210,0.0232615039082934,-1.64859453091604,0.0261250421014548,0.980530119981587,0.991907123921312,-5.57871616783238,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270231.5,NBPF8,0.374167895099379,3.40844121909825,1.09083509559545,0.34242373817385,0.643646213942166,-5.77506118435207,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270248.1,ENSG00000270248,-1.05605031173775,-2.55413624621005,-1.05500130366323,0.356540406927091,0.650793346474691,-4.98144934044484,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270277.1,ENSG00000270277,-0.946539081209596,-0.621718754319531,-1.42044462270964,0.235404486728011,0.558197506119884,-4.8899940462508,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270344.4,POC1B-AS1,2.22569970691298,0.154550787865504,2.98957137576909,0.0456736387804145,0.337559326948126,-3.37920726638841,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270362.2,HMGN3-AS1,0.738071648971095,-0.0660894366269743,0.710160015408494,0.520561193740066,0.756866607456096,-5.52961811010785,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270419.2,CAHM,2.62286605863954,-1.64366755660195,2.36364943568256,0.0840089486059678,0.392370974631776,-3.86493041683334,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270441.1,LAMB2P1,1.27809931405728,-1.40995347138127,1.43155339977213,0.232447622448242,0.557367626276777,-4.68792554507667,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270504.1,ENSG00000270504,0.353155331378809,5.41904254534393,0.492643990852546,0.650567513399962,0.832677266601342,-6.60915275844759,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270557.1,ENSG00000270557,2.08265767953824,-2.76644850482169,1.68676742268372,0.174189038768448,0.503432426319867,-4.35872819833305,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270558.1,ENSG00000270558,0.352236024561902,-2.29161589531239,0.317130913276178,0.768540209459399,0.896803268361431,-5.39664744682008,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270562.1,FOXP1-DT,1.02142210230186,1.14655754013072,1.83402604173449,0.147856594031522,0.474365409275423,-4.57686223111156,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270574.1,ENSG00000270574,0.0686663725569294,-0.610151188859572,0.0801621118315279,0.940331411092259,0.976257939159391,-5.74823678481988,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270580.5,PKD1P6-NPIPP1,0.383441064709339,-0.341717409760891,0.574846495145696,0.599137787439211,0.804140068222465,-5.59604220060414,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270604.5,HCG17,0.396510714155694,-2.01315946256999,0.428597475273824,0.692417269640342,0.856076797748261,-5.3989701322512,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270605.1,ENSG00000270605,2.22649096741629,-1.0641074858648,2.34610051204496,0.0855378352875832,0.394777778845853,-3.87817547835046,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270629.7,NBPF14,0.86249801258634,2.66223760973696,1.78208520930171,0.156613353200146,0.483069510553991,-4.83825944607002,vsmc_C224Y_cluster_CAD_vs_ISO
ENSG00000270638.1,ENSG00000270638,1.60578994564948,-2.34857912606055,1.46140452972244,0.224689563493745,0.548831738175433,-4.56816878616483,vsmc_C224Y_cluster_CAD_vs_ISO
